minute,req_per_sec
2011-05-01 07:06:00+05:30,135
2011-05-01 07:07:00+05:30,500
2011-05-01 07:08:00+05:30,209
2011-05-01 07:09:00+05:30,222
2011-05-01 07:10:00+05:30,162
2011-05-01 07:11:00+05:30,156
2011-05-01 07:12:00+05:30,121
2011-05-01 07:13:00+05:30,129
2011-05-01 07:14:00+05:30,113
2011-05-01 07:15:00+05:30,156
2011-05-01 07:16:00+05:30,124
2011-05-01 07:17:00+05:30,136
2011-05-01 07:18:00+05:30,177
2011-05-01 07:19:00+05:30,199
2011-05-01 07:20:00+05:30,163
2011-05-01 07:21:00+05:30,160
2011-05-01 07:22:00+05:30,190
2011-05-01 07:23:00+05:30,357
2011-05-01 07:24:00+05:30,187
2011-05-01 07:25:00+05:30,171
2011-05-01 07:26:00+05:30,214
2011-05-01 07:27:00+05:30,187
2011-05-01 07:28:00+05:30,256
2011-05-01 07:29:00+05:30,185
2011-05-01 07:30:00+05:30,170
2011-05-01 07:31:00+05:30,172
2011-05-01 07:32:00+05:30,168
2011-05-01 07:33:00+05:30,185
2011-05-01 07:34:00+05:30,160
2011-05-01 07:35:00+05:30,168
2011-05-01 07:36:00+05:30,125
2011-05-01 07:37:00+05:30,186
2011-05-01 07:38:00+05:30,183
2011-05-01 07:39:00+05:30,168
2011-05-01 07:40:00+05:30,175
2011-05-01 07:41:00+05:30,121
2011-05-01 07:42:00+05:30,210
2011-05-01 07:43:00+05:30,212
2011-05-01 07:44:00+05:30,152
2011-05-01 07:45:00+05:30,174
2011-05-01 07:46:00+05:30,192
2011-05-01 07:47:00+05:30,303
2011-05-01 07:48:00+05:30,151
2011-05-01 07:49:00+05:30,88
2011-05-01 07:50:00+05:30,176
2011-05-01 07:51:00+05:30,211
2011-05-01 07:52:00+05:30,103
2011-05-01 07:53:00+05:30,135
2011-05-01 07:54:00+05:30,210
2011-05-01 07:55:00+05:30,167
2011-05-01 07:56:00+05:30,202
2011-05-01 07:57:00+05:30,124
2011-05-01 07:58:00+05:30,104
2011-05-01 07:59:00+05:30,103
2011-05-01 08:00:00+05:30,166
2011-05-01 08:01:00+05:30,112
2011-05-01 08:02:00+05:30,140
2011-05-01 08:03:00+05:30,159
2011-05-01 08:04:00+05:30,165
2011-05-01 08:05:00+05:30,166
2011-05-01 08:06:00+05:30,154
2011-05-01 08:07:00+05:30,156
2011-05-01 08:08:00+05:30,217
2011-05-01 08:09:00+05:30,223
2011-05-01 08:10:00+05:30,167
2011-05-01 08:11:00+05:30,156
2011-05-01 08:12:00+05:30,201
2011-05-01 08:13:00+05:30,169
2011-05-01 08:14:00+05:30,156
2011-05-01 08:15:00+05:30,163
2011-05-01 08:16:00+05:30,165
2011-05-01 08:17:00+05:30,144
2011-05-01 08:18:00+05:30,115
2011-05-01 08:19:00+05:30,125
2011-05-01 08:20:00+05:30,159
2011-05-01 08:21:00+05:30,121
2011-05-01 08:22:00+05:30,125
2011-05-01 08:23:00+05:30,103
2011-05-01 08:24:00+05:30,110
2011-05-01 08:25:00+05:30,168
2011-05-01 08:26:00+05:30,123
2011-05-01 08:27:00+05:30,150
2011-05-01 08:28:00+05:30,232
2011-05-01 08:29:00+05:30,232
2011-05-01 08:30:00+05:30,174
2011-05-01 08:31:00+05:30,142
2011-05-01 08:32:00+05:30,116
2011-05-01 08:33:00+05:30,107
2011-05-01 08:34:00+05:30,135
2011-05-01 08:35:00+05:30,168
2011-05-01 08:36:00+05:30,143
2011-05-01 08:37:00+05:30,119
2011-05-01 08:38:00+05:30,109
2011-05-01 08:39:00+05:30,141
2011-05-01 08:40:00+05:30,171
2011-05-01 08:41:00+05:30,150
2011-05-01 08:42:00+05:30,145
2011-05-01 08:43:00+05:30,162
2011-05-01 08:44:00+05:30,128
2011-05-01 08:45:00+05:30,172
2011-05-01 08:46:00+05:30,186
2011-05-01 08:47:00+05:30,149
2011-05-01 08:48:00+05:30,104
2011-05-01 08:49:00+05:30,154
2011-05-01 08:50:00+05:30,173
2011-05-01 08:51:00+05:30,165
2011-05-01 08:52:00+05:30,102
2011-05-01 08:53:00+05:30,146
2011-05-01 08:54:00+05:30,218
2011-05-01 08:55:00+05:30,170
2011-05-01 08:56:00+05:30,69
2011-05-01 08:57:00+05:30,137
2011-05-01 08:58:00+05:30,92
2011-05-01 08:59:00+05:30,151
2011-05-01 09:00:00+05:30,169
2011-05-01 09:01:00+05:30,152
2011-05-01 09:02:00+05:30,169
2011-05-01 09:03:00+05:30,108
2011-05-01 09:04:00+05:30,97
2011-05-01 09:05:00+05:30,169
